year	sex	name	n	prop
1880	F	Anna	2604	0.02667896
1880	F	Magdalena	19	1.9466e-4
1880	F	Thomas	8	8.196e-5
1880	F	Gina	7	7.172e-5
1880	M	Thomas	2534	0.02140203
1880	M	Anna	12	1.0135e-4
1880	M	Felipe	8	6.757e-5
1881	F	Anna	2698	0.0272925
1881	F	Magdalena	20	2.0232e-4
1881	F	Thomas	11	1.1127e-4
1881	M	Thomas	2282	0.0210746
1881	M	Anna	16	1.4776e-4
1882	F	Anna	3143	0.02716626
1882	F	Magdalena	33	2.8523e-4
1882	F	Thomas	12	1.0372e-4
1882	M	Thomas	2610	0.02138801
1882	M	Felipe	7	5.736e-5
1883	F	Anna	3306	0.02753646
1883	F	Magdalena	27	2.2489e-4
1883	F	Gina	9	7.496e-5
1883	M	Thomas	2316	0.02059088
1883	M	Anna	16	1.4225e-4
1883	M	Felipe	6	5.334e-5
1884	F	Anna	3860	0.02805518
1884	F	Magdalena	31	2.2531e-4
1884	F	Thomas	10	7.268e-5
1884	M	Thomas	2572	0.02095521
1884	M	Anna	20	1.6295e-4
1884	M	Felipe	5	4.074e-5
1885	F	Anna	3994	0.02813706
1885	F	Magdalena	32	2.2543e-4
1885	F	Gina	10	7.045e-5
1885	F	Thomas	9	6.34e-5
1885	M	Thomas	2266	0.01954375
1885	M	Anna	20	1.725e-4
1886	F	Anna	4283	0.02785963
1886	F	Magdalena	40	2.6019e-4
1886	F	Thomas	8	5.204e-5
1886	F	Gina	5	3.252e-5
1886	M	Thomas	2337	0.01963189
1886	M	Anna	15	1.2601e-4
1886	M	Felipe	12	1.0081e-4
1887	F	Anna	4227	0.02719692
1887	F	Magdalena	26	1.6729e-4
1887	F	Gina	7	4.504e-5
1887	F	Thomas	7	4.504e-5
1887	M	Thomas	2151	0.01967744
1887	M	Anna	13	1.1892e-4
1888	F	Anna	4982	0.02629787
1888	F	Magdalena	41	2.1642e-4
1888	F	Thomas	14	7.39e-5
1888	F	Gina	7	3.695e-5
1888	M	Thomas	2449	0.01885209
1888	M	Anna	26	2.0014e-4
1888	M	Felipe	7	5.389e-5
1889	F	Anna	5062	0.02675207
1889	F	Magdalena	37	1.9554e-4
1889	F	Thomas	12	6.342e-5
1889	M	Thomas	2233	0.01875966
1889	M	Anna	23	1.9323e-4
1890	F	Anna	5233	0.02594949
1890	F	Magdalena	25	1.2397e-4
1890	F	Gina	13	6.446e-5
1890	F	Thomas	9	4.463e-5
1890	M	Thomas	2200	0.01837913
1890	M	Anna	20	1.6708e-4
1890	M	Felipe	8	6.683e-5
1891	F	Anna	5099	0.0259404
1891	F	Magdalena	41	2.0858e-4
1891	F	Thomas	13	6.614e-5
1891	F	Gina	6	3.052e-5
1891	M	Thomas	1982	0.01813939
1891	M	Anna	15	1.3728e-4
1891	M	Felipe	9	8.237e-5
1892	F	Anna	5542	0.02464064
1892	F	Magdalena	26	1.156e-4
1892	F	Thomas	16	7.114e-5
1892	F	Gina	11	4.891e-5
1892	M	Thomas	2413	0.01835637
1892	M	Anna	20	1.5215e-4
1892	M	Felipe	12	9.129e-5
1893	F	Anna	5695	0.02528504
1893	F	Magdalena	58	2.5751e-4
1893	F	Thomas	16	7.104e-5
1893	F	Gina	10	4.44e-5
1893	M	Thomas	2157	0.01782041
1893	M	Anna	17	1.4045e-4
1893	M	Felipe	9	7.435e-5
1894	F	Anna	5565	0.02358341
1894	F	Magdalena	46	1.9494e-4
1894	F	Gina	16	6.78e-5
1894	F	Thomas	9	3.814e-5
1894	M	Thomas	2170	0.01737487
1894	M	Anna	20	1.6014e-4
1895	F	Anna	5950	0.02407874
1895	F	Magdalena	31	0.00012545000000000001
1895	F	Thomas	14	5.666e-5
1895	F	Gina	5	2.023e-5
1895	M	Thomas	2153	0.01700054
1895	M	Anna	18	1.4213e-4
1895	M	Felipe	8	6.317e-5
1896	F	Anna	5860	0.02325461
1896	F	Magdalena	42	1.6667e-4
1896	F	Thomas	11	4.365e-5
